subid,condition,stimulus,hit_minus_fa,group
144,SO_DS,scene,0.770588,OA
144,SO_DS,object,0.561765,OA
144,SO_SS,scene,0.482353,OA
144,SO_SS,object,0.761765,OA
146,DO_SS,scene,0.361765,OA
146,DO_SS,object,0.920588,OA
146,SO_DS,scene,1,OA
146,SO_DS,object,0.264706,OA
146,SO_SS,scene,0.670588,OA
146,SO_SS,object,0.347059,OA
147,DO_SS,scene,0.414706,OA
147,DO_SS,object,0.970588,OA
147,SO_DS,scene,0.735294,OA
147,SO_DS,object,0.217647,OA
147,SO_SS,scene,0.317647,OA
147,SO_SS,object,0.694118,OA
149,DO_SS,scene,0.364706,OA
149,DO_SS,object,0.85,OA
149,SO_DS,scene,0.802941,OA
149,SO_DS,object,0.382353,OA
149,SO_SS,scene,0.323529,OA
149,SO_SS,object,0.473529,OA
151,DO_SS,scene,0.594118,OA
151,DO_SS,object,0.970588,OA
151,SO_DS,scene,0.882353,OA
151,SO_DS,object,0.694118,OA
151,SO_SS,scene,0.329412,OA
151,SO_SS,object,0.394118,OA
