,participant,block,taskID,stimulus_ID,stimulus_distractor,stimulus_congruency,response_ID,accuracy,rt
177,6001,1,spatial,R,L,I,R,1,562.03
178,6001,1,spatial,L,R,I,L,1,431.79
179,6001,1,spatial,R,R,C,R,1,341.64
180,6001,1,spatial,L,R,I,L,1,345.39
181,6001,1,spatial,R,R,C,R,1,300.71
182,6001,1,spatial,L,R,I,L,1,435.27
183,6001,1,spatial,R,R,C,R,1,343.69
184,6001,1,spatial,L,L,C,L,1,337.93
185,6001,1,spatial,R,L,I,R,1,168.15
186,6001,1,spatial,R,R,C,R,1,583.83
187,6001,1,spatial,R,L,I,R,1,406.66
188,6001,1,spatial,L,L,C,L,1,486.8
189,6001,1,spatial,R,L,I,R,1,309.52
190,6001,1,spatial,L,L,C,L,1,420.8
191,6001,1,spatial,L,R,I,L,1,727.48
192,6001,1,spatial,L,L,C,L,1,373.06
193,6001,1,spatial,R,R,C,R,1,500.11
194,6001,1,spatial,L,R,I,L,1,354.19
195,6001,1,spatial,L,L,C,L,1,660.69
196,6001,1,spatial,R,L,I,R,1,413.29
197,6001,1,spatial,R,R,C,R,1,618.48
198,6001,1,spatial,L,R,I,R,0,909.68
199,6001,1,spatial,R,R,C,R,1,982.36
200,6001,1,spatial,L,L,C,L,1,571.26
201,6001,1,spatial,R,L,I,R,1,737.78
202,6001,1,spatial,L,L,C,L,1,896.63
203,6001,1,spatial,R,R,C,R,1,735.42
204,6001,1,spatial,L,L,C,L,1,521.32
205,6001,1,spatial,R,R,C,R,1,414.14
206,6001,1,spatial,R,L,I,R,1,611.4
207,6001,1,spatial,R,R,C,R,1,2114.68
208,6001,1,spatial,L,L,C,L,1,572.68
209,6001,1,spatial,R,L,I,R,1,559.2
210,6001,1,spatial,L,L,C,L,1,342.86
211,6001,1,spatial,L,R,I,L,1,602.78
212,6001,1,spatial,R,R,C,R,1,370.88
213,6001,1,spatial,L,L,C,L,1,474.61
214,6001,1,spatial,R,L,I,R,1,921.78
215,6001,1,spatial,R,R,C,R,1,676.18
216,6001,1,spatial,R,L,I,R,1,389.67
217,6001,1,spatial,L,L,C,L,1,438.5
218,6001,1,spatial,R,R,C,R,1,487.62
219,6001,1,spatial,R,L,I,R,1,552.53
220,6001,1,spatial,R,R,C,R,1,437.67
221,6001,1,spatial,L,R,I,L,1,392.77
222,6001,1,spatial,R,L,I,R,1,363.62
223,6001,1,spatial,L,L,C,L,1,498.57
224,6001,1,spatial,R,L,I,R,1,328.78
225,6001,1,spatial,L,R,I,L,1,354.13
226,6001,1,spatial,R,R,C,R,1,348.46
227,6001,1,spatial,L,R,I,L,1,717.55
228,6001,1,spatial,R,L,I,R,1,368.56
229,6001,1,spatial,R,R,C,R,1,550.5
230,6001,1,spatial,L,L,C,L,1,420.06
231,6001,1,spatial,R,L,I,R,1,305.05
